staging_id,fetched_at,phase,source_system,query_used,title,date_or_modified,org_or_source,url,citation_text,verification_status,confidence_level,notes
phase1_palestine-hdx-2026-07-14-28055,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,Conflict-Related Incidents Affecting Food Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-hunger-and-aid-security,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-81411,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,Escalations in Gaza - Response Prioritization,2026-07-14,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/escalations-in-gaza-response-prioritization,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-7432,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine - Electric Power Plant,2026-07-14,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/state-of-palestine-other-0,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-42452,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine: Violations Against Education,2026-07-14,Palestinian Central Bureau of Statistics,https://data.humdata.org/dataset/state-of-palestine-israeli-occupation-violations-against-education,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-28563,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,oPt - CBPF Allocations and Contributions,2026-07-14,Country-Based Pooled Funds (OCHA),https://data.humdata.org/dataset/opt-cbpf-allocations-and-contributions,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-13-15450,2026-07-14T16:01:03+00:00,1,HDX,Palestine OR Gaza OR oPt,"State of Palestine - Land Use, Fertilizers and Inputs",2026-07-13,Food and Agriculture Organization (FAO) of the United Nations,https://data.humdata.org/dataset/pse-faostat-land-inputs,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-20685,2026-07-14T16:01:03+00:00,2,HDX,Sudan,South Sudan - GLIDE Disaster Events,2026-07-14,GLIDE Initiative,https://data.humdata.org/dataset/ssd-glide-events,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-54854,2026-07-14T16:01:03+00:00,2,HDX,Sudan,Sudan - GLIDE Disaster Events,2026-07-14,GLIDE Initiative,https://data.humdata.org/dataset/sdn-glide-events,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-99857,2026-07-14T16:01:03+00:00,2,HDX,Sudan,South Sudan - CERF Allocations,2026-07-14,Central Emergency Response Fund,https://data.humdata.org/dataset/cerf-allocations-ssd,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-97342,2026-07-14T16:01:03+00:00,2,HDX,Sudan,Sudan - CERF Allocations,2026-07-14,Central Emergency Response Fund,https://data.humdata.org/dataset/cerf-allocations-sdn,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-61066,2026-07-14T16:01:03+00:00,2,HDX,Sudan,"South Sudan (SSD): Attacks on Aid Operations, Education, Health Care, Food and Water Systems, and IDP/Refugee Camps, and Conflict-Related Sexual Violence Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/south-sudan-attacks-on-civilians-and-vital-civilian-facilities,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-54061,2026-07-14T16:01:03+00:00,2,HDX,Sudan,"Sudan (SDN): Attacks on Aid Operations, Education, Food and Water Systems, Health Care and IDP/Refugee Camps, and Conflict-Related or Political-Related Sexual Violence and Explosive Weapons Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/sudan-violence-against-civilians-and-vital-civilian-facilities,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-96159,2026-07-14T16:01:03+00:00,2,HDX,Sudan,"State of Palestine (PSE): Attacks on Aid Operations, Education, Food and Water Systems, Health Care and IDP/Refugee Camps, and Conflict-Related Sexual Violence and Explosive Weapons Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/opt-violent-and-threatening-incidents-against-healthcare,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-41602,2026-07-14T16:01:03+00:00,2,HDX,Sudan,Conflict-Related Incidents Affecting Water Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-related-incidents-affecting-water-systems,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-91690,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,"State of Palestine (PSE): Attacks on Aid Operations, Education, Food and Water Systems, Health Care and IDP/Refugee Camps, and Conflict-Related Sexual Violence and Explosive Weapons Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/opt-violent-and-threatening-incidents-against-healthcare,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-66260,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,Conflict-Related Incidents Affecting Water Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-related-incidents-affecting-water-systems,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-32968,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,Conflict-Related Incidents Affecting Food Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-hunger-and-aid-security,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-36550,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,Escalations in Gaza - Response Prioritization,2026-07-14,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/escalations-in-gaza-response-prioritization,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-97341,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine - Electric Power Plant,2026-07-14,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/state-of-palestine-other-0,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-18751,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine: Violations Against Education,2026-07-14,Palestinian Central Bureau of Statistics,https://data.humdata.org/dataset/state-of-palestine-israeli-occupation-violations-against-education,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-14-39027,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,oPt - CBPF Allocations and Contributions,2026-07-14,Country-Based Pooled Funds (OCHA),https://data.humdata.org/dataset/opt-cbpf-allocations-and-contributions,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-13-50147,2026-07-14T16:05:53+00:00,1,HDX,Palestine OR Gaza OR oPt,"State of Palestine - Land Use, Fertilizers and Inputs",2026-07-13,Food and Agriculture Organization (FAO) of the United Nations,https://data.humdata.org/dataset/pse-faostat-land-inputs,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-93571,2026-07-14T16:05:53+00:00,2,HDX,Sudan,South Sudan - GLIDE Disaster Events,2026-07-14,GLIDE Initiative,https://data.humdata.org/dataset/ssd-glide-events,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-58842,2026-07-14T16:05:53+00:00,2,HDX,Sudan,Sudan - GLIDE Disaster Events,2026-07-14,GLIDE Initiative,https://data.humdata.org/dataset/sdn-glide-events,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-12597,2026-07-14T16:05:53+00:00,2,HDX,Sudan,South Sudan - CERF Allocations,2026-07-14,Central Emergency Response Fund,https://data.humdata.org/dataset/cerf-allocations-ssd,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-9817,2026-07-14T16:05:53+00:00,2,HDX,Sudan,Sudan - CERF Allocations,2026-07-14,Central Emergency Response Fund,https://data.humdata.org/dataset/cerf-allocations-sdn,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-96033,2026-07-14T16:05:53+00:00,2,HDX,Sudan,"South Sudan (SSD): Attacks on Aid Operations, Education, Health Care, Food and Water Systems, and IDP/Refugee Camps, and Conflict-Related Sexual Violence Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/south-sudan-attacks-on-civilians-and-vital-civilian-facilities,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-16044,2026-07-14T16:05:53+00:00,2,HDX,Sudan,"Sudan (SDN): Attacks on Aid Operations, Education, Food and Water Systems, Health Care and IDP/Refugee Camps, and Conflict-Related or Political-Related Sexual Violence and Explosive Weapons Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/sudan-violence-against-civilians-and-vital-civilian-facilities,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-91690,2026-07-14T16:05:53+00:00,2,HDX,Sudan,"State of Palestine (PSE): Attacks on Aid Operations, Education, Food and Water Systems, Health Care and IDP/Refugee Camps, and Conflict-Related Sexual Violence and Explosive Weapons Incident Data",2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/opt-violent-and-threatening-incidents-against-healthcare,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-14-66260,2026-07-14T16:05:53+00:00,2,HDX,Sudan,Conflict-Related Incidents Affecting Water Systems,2026-07-14,Insecurity Insight,https://data.humdata.org/dataset/conflict-related-incidents-affecting-water-systems,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-18-80528,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,Escalations in Gaza - Response Prioritization,2026-07-18,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/escalations-in-gaza-response-prioritization,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-18-95904,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine - Electric Power Plant,2026-07-18,OCHA occupied Palestinian territory (oPt),https://data.humdata.org/dataset/state-of-palestine-other-0,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-18-60366,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,State of Palestine: Violations Against Education,2026-07-18,Palestinian Central Bureau of Statistics,https://data.humdata.org/dataset/state-of-palestine-israeli-occupation-violations-against-education,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-18-77941,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,oPt - CBPF Allocations and Contributions,2026-07-18,Country-Based Pooled Funds (OCHA),https://data.humdata.org/dataset/opt-cbpf-allocations-and-contributions,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-17-86682,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,"West Bank and Gaza - Economic, Social, Environmental, Health, Education, Development and Energy",2026-07-17,World Bank Group,https://data.humdata.org/dataset/world-bank-combined-indicators-for-west-bank-and-gaza,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-17-47733,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,West Bank and Gaza - Trade,2026-07-17,World Bank Group,https://data.humdata.org/dataset/world-bank-trade-indicators-for-west-bank-and-gaza,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-17-99414,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,West Bank and Gaza - External Debt,2026-07-17,World Bank Group,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-west-bank-and-gaza,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase1_palestine-hdx-2026-07-17-72074,2026-07-18T15:34:03+00:00,1,HDX,Palestine OR Gaza OR oPt,West Bank and Gaza - Climate Change,2026-07-17,World Bank Group,https://data.humdata.org/dataset/world-bank-climate-change-indicators-for-west-bank-and-gaza,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-26250,2026-07-18T15:34:03+00:00,2,HDX,Sudan,South Sudan - GLIDE Disaster Events,2026-07-18,GLIDE Initiative,https://data.humdata.org/dataset/ssd-glide-events,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-78618,2026-07-18T15:34:03+00:00,2,HDX,Sudan,Sudan - GLIDE Disaster Events,2026-07-18,GLIDE Initiative,https://data.humdata.org/dataset/sdn-glide-events,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-83903,2026-07-18T15:34:03+00:00,2,HDX,Sudan,South Sudan - CERF Allocations,2026-07-18,Central Emergency Response Fund,https://data.humdata.org/dataset/cerf-allocations-ssd,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-25347,2026-07-18T15:34:03+00:00,2,HDX,Sudan,Sudan - CERF Allocations,2026-07-18,Central Emergency Response Fund,https://data.humdata.org/dataset/cerf-allocations-sdn,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-70593,2026-07-18T15:34:03+00:00,2,HDX,Sudan,"Global: Weight-for-height >+2 SD (overweight), Survey Estimates",2026-07-18,UNICEF Data and Analytics (HQ),https://data.humdata.org/dataset/unicef-nt-ant-whz-po2,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-53582,2026-07-18T15:34:03+00:00,2,HDX,Sudan,Sudan Emergency: New arrivals from Sudan,2026-07-18,UNHCR - The UN Refugee Agency,https://data.humdata.org/dataset/new-arrivals-from-sudan,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-4450,2026-07-18T15:34:03+00:00,2,HDX,Sudan,Facebook Social Connectedness Index,2026-07-18,AI for Good at Meta,https://data.humdata.org/dataset/social-connectedness-index,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
phase2_sudan-hdx-2026-07-18-30597,2026-07-18T15:34:03+00:00,2,HDX,Sudan,South Sudan Daily FEWS NET Cross Border Trade Data,2026-07-18,FEWS NET,https://data.humdata.org/dataset/daily_cross_border_trade_for_south_sudan_6824,,unverified,low,Dataset-level metadata from HDX — open the URL and extract a specific citable fact before promoting.
